lat,lon,elevation,time
55.735296000,13.225387000,72.7,2016-07-21T15:26:07Z
55.735212000,13.225434000,72.8,2016-07-21T15:26:12Z
55.735139000,13.225497000,72.9,2016-07-21T15:26:17Z
55.735054000,13.225606000,73.0,2016-07-21T15:26:21Z
55.734976000,13.225667000,73.0,2016-07-21T15:26:24Z
55.734905000,13.225747000,73.0,2016-07-21T15:26:27Z
55.734810000,13.225821000,73.0,2016-07-21T15:26:31Z
55.734733000,13.225932000,73.0,2016-07-21T15:26:35Z
55.734657000,13.225998000,73.2,2016-07-21T15:26:39Z
55.734580000,13.226079000,73.4,2016-07-21T15:26:44Z
